"Sr. No.","Date","Holiday"
"1","Monday, 22 January 2024","Ram Mandir Inauguration Day"
"2","Friday, 26 January 2024","Republic Day"
"3","Friday, 08 March 2024","Maha Shiv Ratri"
"4","Monday, 25 March 2024","Holi"
"5","Friday, 29 March 2024","Good Friday"
"6","Thursday, 11 April 2024","Eid-Ul-Fitr (Ramzan Eid)"
"7","Wednesday, 17 April 2024","Ram Navami"
"8","Wednesday, 01 May 2024","Maharashtra Day"
"9","Monday, 20 May 2024","General Elections (Lok Sabha)"
"10","Monday, 17 June 2024","Bakri Eid"
"11","Wednesday, 17 July 2024","Moharram"
"12","Thursday, 15 August 2024","Independence Day"
"13","Wednesday, 02 October 2024","Mahatma Gandhi Jayanti"
"14","Friday, 01 November 2024","Diwali-Laxmi Pujan*"
"15","Friday, 15 November 2024","Gurunanak Jayanti"
"16","Wednesday, 25 December 2024","Christmas"
